id,failure
26570,8708.25
26571,4665.5
26572,6662.0
26573,7515.049999999999
26574,20102.85
26575,2918.5
26576,2904.35
26577,14173.249999999998
26578,618.05
26579,3433.6499999999996
26580,1526.1999999999998
26581,10676.199999999999
26582,11429.349999999999
26583,6006.4
26584,13161.449999999999
26585,4701.15
26586,5181.349999999999
26587,2705.45
26588,13199.699999999999
26589,5738.0
26590,5768.75
26591,14669.599999999999
26592,15690.849999999999
26593,6598.4
26594,5032.15
26595,12958.349999999999
26596,16093.099999999999
26597,5186.55
26598,18800.05
26599,6557.1
26600,7472.0
26601,14409.949999999999
26602,18592.35
26603,7841.299999999999
26604,3112.5
26605,2697.75
26606,1003.0999999999999
26607,6884.4
26608,1863.1499999999996
26609,14771.8
26610,4169.15
26611,5829.099999999999
26612,184.45
26613,10476.949999999999
26614,5074.0
26615,7279.9
26616,10879.8
26617,1411.85
26618,20540.9
26619,4347.599999999999
26620,7897.099999999999
26621,3823.8999999999996
26622,7607.5999999999985
26623,12198.05
26624,7417.199999999999
26625,12383.3
26626,1344.7499999999998
26627,20406.05
26628,656.9499999999999
26629,19256.5
26630,6882.5
26631,14874.65
26632,14332.599999999999
26633,7493.0999999999985
26634,15478.25
26635,16700.6
26636,20651.75
26637,11970.649999999998
26638,17301.35
26639,3423.1
26640,8417.15
26641,10628.949999999999
26642,16405.0
26643,15239.7
26644,3610.1499999999996
26645,6333.75
26646,15455.900000000001
26647,14231.3
26648,6480.650000000001
26649,12086.6
26650,13500.900000000001
26651,9363.8
26652,14596.849999999999
26653,11339.05
26654,18672.9
26655,15038.749999999998
26656,5388.8
26657,12224.85
26658,15156.149999999998
26659,6883.799999999999
26660,11223.349999999999
26661,6437.65
26662,4929.0
26663,17979.449999999997
26664,6103.999999999999
26665,4906.95
26666,376.65
26667,10464.15
26668,14871.3
26669,1608.1499999999999
26670,11857.5
26671,1071.05
26672,7693.849999999999
26673,7392.15
26674,1838.6
26675,5205.25
26676,1497.4499999999998
26677,19999.0
26678,5767.25
26679,10879.5
26680,5618.25
26681,19677.75
26682,3338.0
26683,19179.25
26684,19131.1
26685,5997.85
26686,7898.149999999999
26687,17304.949999999997
26688,15466.649999999998
26689,14064.7
26690,5378.8
26691,8852.25
26692,15271.25
26693,9426.85
26694,6415.199999999999
26695,19542.35
26696,15047.05
26697,5482.85
26698,16106.949999999997
26699,513.8999999999999
26700,8152.699999999999
26701,7600.6
26702,17799.95
26703,7528.25
26704,7841.6
26705,15721.75
26706,12294.45
26707,11273.949999999999
26708,12931.8
26709,997.25
26710,15805.799999999997
26711,13240.649999999998
26712,11994.25
26713,19691.699999999997
26714,17744.1
26715,13379.849999999999
26716,11193.849999999999
26717,5806.7
26718,14245.599999999999
26719,11481.899999999998
26720,4932.2
26721,606.4
26722,18915.3
26723,5432.349999999999
26724,10910.35
26725,9486.349999999999
26726,6801.65
26727,5178.099999999999
26728,6014.549999999999
26729,9504.9
26730,13482.599999999999
26731,19217.3
26732,4743.95
26733,11963.649999999998
26734,10869.15
26735,18210.25
26736,5768.85
26737,5509.4
26738,11654.4
26739,20299.649999999998
26740,8474.449999999999
26741,20024.199999999997
26742,18790.4
26743,15458.699999999999
26744,13194.349999999999
26745,14222.5
26746,1019.05
26747,13730.949999999999
26748,507.79999999999995
26749,15229.699999999999
26750,4658.45
26751,15571.849999999999
26752,17432.0
